fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
"6-9,7-10",2,0,batch_output/f_6-9__7-10,1.714,0.850,7930.000,0.039650,2.604
"6-9,9-10",2,0,batch_output/f_6-9__9-10,1.728,0.850,7930.000,0.039650,2.618
"6-9,9-11",2,0,batch_output/f_6-9__9-11,1.862,0.970,9018.000,0.045090,2.877
"6-9,10-11",2,0,batch_output/f_6-9__10-11,2.072,1.000,13246.000,0.066230,3.139
"7-8,7-10",2,0,batch_output/f_7-8__7-10,2.134,1.070,15012.000,0.075060,3.279
"7-8,9-10",2,0,batch_output/f_7-8__9-10,2.144,1.050,15012.000,0.075060,3.269
"7-8,9-11",2,0,batch_output/f_7-8__9-11,1.173,0.330,12894.000,0.064470,1.567
"7-8,10-11",2,0,batch_output/f_7-8__10-11,1.055,0.230,12822.000,0.064110,1.349
"7-10,9-10",2,0,batch_output/f_7-10__9-10,1.479,0.830,6412.000,0.032060,2.341
"7-10,9-11",2,0,batch_output/f_7-10__9-11,1.895,0.980,10706.000,0.053530,2.929
"7-10,10-11",2,0,batch_output/f_7-10__10-11,2.063,1.010,14934.000,0.074670,3.148
"9-10,9-11",2,0,batch_output/f_9-10__9-11,1.806,0.940,10706.000,0.053530,2.800
"9-10,10-11",2,0,batch_output/f_9-10__10-11,2.111,1.010,14934.000,0.074670,3.195
"9-11,10-11",2,0,batch_output/f_9-11__10-11,1.195,0.360,12816.000,0.064080,1.619
