network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,1-6;2-8,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__2-8
cost239-1,1-6;3-5,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__3-5
cost239-1,1-6;3-6,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__3-6
cost239-1,1-6;3-7,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__3-7
cost239-1,1-6;3-8,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__3-8
cost239-1,1-6;4-6,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__4-6
cost239-1,1-6;4-7,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__4-7
cost239-1,1-6;4-8,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__4-8
cost239-1,1-6;4-9,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__4-9
cost239-1,1-6;4-10,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__4-10
cost239-1,1-6;5-6,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__5-6
cost239-1,1-6;5-11,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__5-11
cost239-1,1-6;6-9,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__6-9
cost239-1,1-6;7-8,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__7-8
cost239-1,1-6;7-10,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__7-10
cost239-1,1-6;9-10,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__9-10
cost239-1,1-6;9-11,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__9-11
cost239-1,1-6;10-11,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-6__10-11
cost239-1,1-7;1-9,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__1-9
cost239-1,1-11;1-7,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__1-11
cost239-1,1-7;2-3,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__2-3
cost239-1,1-7;2-5,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-7__2-5
